wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
ich mocht unterstreich , dass die parlamentari zu den verschied konferenz , die in dies rahm stattfind werd , eingelad sind .	i should like to point out that honour member of thi parliament are invit to attend the variou confer that will be held within thi framework .	0-0 1-1 2-2 3-3 2-4 3-5 4-6 19-7 6-8 12-9 14-10 6-11 20-12 19-13 18-14 19-15 8-16 9-17 10-18 11-19 17-20 17-21 16-22 15-23 14-24 15-25 21-26	-114.971512502
aber auch die verstark der zusammenarbeit ist erford , weil wir es mit machtig organisation zu tun hab , den man gewachs sein muss .	we also need closer cooper becaus we are deal here with power organis , which must be confront .	10-0 1-1 7-2 13-3 5-4 9-5 10-6 10-7 13-8 13-9 12-10 13-11 14-12 18-13 19-14 23-15 23-16 13-17 24-18	-81.2700042386
es handelt sich nicht um den rat von nizza , sond um ein termin , der in tamp fur die annahm ein rechtsinstrument zur festleg von definition , tatbestandsmerkmal und straf fur menschenhandel , insbesond fur den handel mit frau und kind zum zweck ihr sexuell ausbeut , vorgeseh wurd .	thi deadlin wa not set for the nice council . thi is a deadlin that wa set at tamper for the approv of a legisl instrument which establish common definit , common incrimin and common punish for traffick in human be , and specif for traffick in women and children for purpos of sexual exploit .	1-0 13-1 1-2 3-3 24-4 18-5 19-6 8-7 6-8 50-9 1-10 2-11 12-12 13-13 14-14 49-15 24-16 17-17 17-18 18-19 19-20 20-21 21-22 21-23 22-24 22-25 27-26 24-27 28-28 26-29 27-30 28-31 28-32 29-33 28-34 30-35 31-36 32-37 31-38 32-39 32-40 33-41 29-42 28-43 31-44 32-45 34-46 39-47 40-48 41-49 42-50 43-51 42-52 45-53 46-54 50-55	-221.711649268
- viel dank , herr kommissar antónio vitorino .	thank you veri much , commission vitorino .	2-0 2-1 2-2 1-3 3-4 5-5 7-6 8-7	-23.0068929403
in uns zeit nun verandert sich die auffass von den bezieh zur natur radikal .	the concept of relationship with natur is chang radic in our own time .	6-0 7-1 8-2 10-3 11-4 12-5 5-6 4-7 13-8 0-9 1-10 13-11 2-12 14-13	-60.1785998642
uns ausschuss schlagt nicht die ubertrag von mitteln der gemeinschaftsinitiativ urban fur innovativ massnahm vor , die entsprech mittel sind vielmehr aus and quell zu beschaff .	our committe is not propos to move appropri set asid under the urban initi to be use for innov measur : the compens appropri have to be found elsewher .	0-0 1-1 4-2 3-3 2-4 11-5 10-6 9-7 9-8 10-9 10-10 8-11 10-12 9-13 24-14 24-15 25-16 11-17 12-18 13-19 25-20 8-21 10-22 17-23 19-24 24-25 24-26 10-27 10-28 26-29	-146.689756841
dass ich die sonderbeauftragt uberhaupt erwahn , liegt daran , dass der rat darauf besteht , die sonderbeauftragt uber den ratshaushalt zu finanzi .	if i need to mention the special envoy at all , it is becaus the council is insist on transfer the financ of the special envoy to the council 's administr budget .	4-0 1-1 20-2 21-3 5-4 2-5 3-6 3-7 4-8 4-9 6-10 7-11 7-12 8-13 11-14 12-15 14-16 20-17 18-18 20-19 19-20 22-21 16-22 16-23 17-24 17-25 19-26 19-27 20-28 20-29 20-30 20-31 23-32	-127.319634806
bezug des handel mocht ich abschliess noch darauf hinweis , dass es notwend ist , die allgemein regel fur den transatlant dialog anzugleich .	the final point i want to make in the trade sphere relat to the need for us to ensur that the omnibu regul for the transatlant dialogu is adapt .	1-0 5-1 8-2 4-3 3-4 7-5 7-6 1-7 1-8 2-9 22-10 0-11 14-12 15-13 12-14 18-15 22-16 23-17 22-18 14-19 15-20 22-21 17-22 18-23 19-24 20-25 21-26 13-27 22-28 23-29	-131.73804896
wir woll uns auf ein ruckfuhr auf den stand des jahr 2000 beschrank , so dass die von der kommission zur finanzier des kosovo vorgeschlag einspar damit hinfall wird .	we are prepar to make do with reduc spend to the 2000 level and thu cancel out the cut-back which the commiss propos in favour of financ kosovo .	0-0 0-1 5-2 6-3 25-4 26-5 26-6 25-7 25-8 6-9 7-10 11-11 8-12 7-13 5-14 5-15 5-16 7-17 5-18 7-19 18-20 19-21 24-22 22-23 27-24 20-25 21-26 23-27 29-28	-151.092964015
seit veroffentlich des haushaltsvorentwurf durch die kommission war er verpflichtet , die von der kommission vorgeschlag ander der finanziell vorausschau mit uns zu diskuti .	ever sinc the pdb wa publish by the commiss they have been duti bound to discuss with us the revis of the financi perspect which wa propos by the commiss .	3-0 0-1 2-2 3-3 7-4 1-5 4-6 5-7 6-8 9-9 10-10 7-11 9-12 9-13 22-14 23-15 20-16 21-17 17-18 16-19 17-20 17-21 18-22 19-23 10-24 7-25 15-26 12-27 13-28 14-29 24-30	-128.011839179
der rat veranschlagt ca. 200 mio . wenig als wir , was bedeutet , dass wir in dies punkt kein einig erziel werd , und solang wir uns nicht einig konn , bleibt das probl in bezug auf die finanzier der erfordernis in kategori 4 besteh .	the council 's posit is about 200 million less than our , which mean that we will not get an agreement on that and unless we have an agreement there is go to be a problem in how we fund the need in categori 4 .	0-0 1-1 0-2 2-3 11-4 3-5 4-6 5-7 7-8 8-9 9-10 10-11 10-12 12-13 14-14 15-15 22-16 19-17 21-18 21-19 20-20 18-21 23-22 24-23 25-24 26-25 20-26 21-27 29-28 32-29 33-30 22-31 23-32 22-33 23-34 34-35 35-36 2-37 9-38 39-39 40-40 41-41 42-42 43-43 44-44 46-45	-196.425285546
die initiativ der kommission ist notwend , um den stabilitatspakt fur den balkan finanzi zu konn .	the commiss 's initi is necessari in order to financ the stabil pact for the balkan .	2-0 3-1 2-2 1-3 4-4 5-5 6-6 7-7 8-8 13-9 8-10 9-11 9-12 10-13 11-14 12-15 16-16	-48.9637226348
and gesagt , die revolution auf europa eben in den kommend zehn jahr wird kein institutionell , sond ein haushalts­ und steuerpolit revolution sein .	in other word , the revolut that look set to take place in european affair over the come ten year is not an institut one but a budgetari and tax one .	8-0 0-1 19-2 2-3 3-4 4-5 16-6 19-7 19-8 16-9 19-10 19-11 5-12 6-13 4-14 10-15 9-16 10-17 11-18 12-19 13-20 14-21 18-22 15-23 19-24 17-25 18-26 19-27 20-28 21-29 19-30 24-31	-123.268410353
es ist auch wahr , dass , sollt die extern programm gekurzt werd muss , dies unt berucksicht der linearitat zu gescheh hat , weil andernfall jemand ein schwer verantwort auf sich ladt .	it is also true that if we have to cut the extern programm , we must do so accord to a principl of linear and if it is not done in that way , somebodi somewher is assum a veri great respons .	0-0 1-1 2-2 3-3 5-4 7-5 13-6 13-7 14-8 11-9 8-10 9-11 10-12 12-13 13-14 13-15 19-16 19-17 19-18 20-19 20-20 19-21 18-22 19-23 24-24 25-25 0-26 1-27 25-28 21-29 16-30 15-31 19-32 23-33 26-34 19-35 1-36 19-37 27-38 28-39 19-40 29-41 33-42	-196.280188056
die kommission ist ihr verpflicht , ein mehrjahresplan fur den balkan vorzuleg , mehr schlecht als recht nachgekomm .	somehow or other , the commiss ha honour it commit to propos a multi-annu plan for the balkan .	7-0 7-1 7-2 5-3 0-4 1-5 17-6 17-7 3-8 4-9 5-10 11-11 6-12 7-13 7-14 8-15 9-16 10-17 18-18	-72.7745378
man stell sich das vor .	just imagin .	1-0 1-1 5-2	-16.8876620451
so konn wir nicht vorwartskomm .	that is no way to make progress .	4-0 4-1 4-2 4-3 5-4 4-5 4-6 5-7	-26.6167433851
wir geb 40 million im jahr fur die demokrat kraft in serbi aus , und man verlangt noch etwas mehr als zweihundert .	we spend eur 40 million a year on the democrat forc in serbia and they are ask for two hundr and someth more .	0-0 21-1 3-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 14-13 15-14 15-15 16-16 12-17 21-18 21-19 14-20 18-21 19-22 22-23	-82.9832790928
anfrag nr. 1 von ( h-0518/00 ) :	question no 1 by ( h-0518/00 ) :	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7	-7.94186228221
das wass soll dem ausbau ein intensiv landwirtschaft mit bewasserungssystem in kataloni dien .	the water is appar intend to be use to develop irrig intens farm in catalonia .	0-0 1-1 2-2 9-3 9-4 2-5 2-6 9-7 3-8 4-9 9-10 6-11 9-12 10-13 11-14 13-15	-57.2011730487
ich heg die hoffnung , dass sich der rat mit gross engagement fur den digital horfunk einsetzt , wenn die kommission ein entsprech vorschlag vorlegt .	i would like to think that the council , were they to receiv a propos from the commiss , would behav emphat in support of digit radio .	0-0 15-1 15-2 17-3 15-4 5-5 7-6 8-7 17-8 15-9 15-10 17-11 15-12 21-13 23-14 15-15 19-16 20-17 17-18 15-19 15-20 15-21 12-22 15-23 13-24 14-25 15-26 25-27	-124.77120972
das gleich spektrum war natur ausserst profitabel , wenn man es fur den mobilfunk nutz wurd .	yet that same spectrum would , of cours , be veri profit if were use for telephon commun .	13-0 0-1 1-2 2-3 3-4 3-5 4-6 4-7 7-8 3-9 5-10 6-11 8-12 15-13 14-14 11-15 13-16 13-17 16-18	-70.0730041209
china benutzt den handel im rahm der wto zur polit erpress , und wir hatt bei den verhandl eu / china zur frag der wto-mitgliedschaft ebenfall all uns zur verfug stehend mittel einsetz soll .	thi is an issu where , in the wto , china use trade as a tool of polit blackmail , and we should have use the eu / china wto negoti for leverag in the same way .	34-0 33-1 21-2 22-3 24-4 4-5 4-6 6-7 7-8 11-9 0-10 1-11 3-12 4-13 21-14 24-15 8-16 9-17 10-18 11-19 12-20 13-21 14-22 14-23 1-24 2-25 18-26 19-27 20-28 24-29 17-30 21-31 24-32 23-33 23-34 24-35 24-36 34-37	-160.129205523
gemass den beschluss des europa rat von lissabon , wonach den stabilisierungs- und assoziierungsabkomm mit den land des westlich balkan ein asymmetr handelsliberalisier vorangeh sollt , soll die kommission in kurz konkret vorschlag fur die ausweit der besteh handelspraferenz durch aufheb der fur bestimmt industriell war geltend zollplafond sowi durch ein verbessert marktzugang fur agrarerzeugnis unterbreit .	as a result of the decis made at the lisbon european council , which provid that stabilis and associ agreement with the balkan countri should be preced by the non-symmetr liberalis of trade , the commiss is set to put forward a specif propos extend the exist trade prefer through the abolit of tariff ceil that exist for some industri product and the improv of the access of agricultur product to the market .	48-0 50-1 47-2 3-3 1-4 2-5 2-6 26-7 27-8 7-9 4-10 5-11 8-12 9-13 9-14 9-15 11-16 12-17 13-18 13-19 14-20 15-21 19-22 16-23 24-24 24-25 47-26 39-27 41-28 47-29 22-30 20-31 22-32 25-33 27-34 28-35 26-36 23-37 26-38 55-39 55-40 50-41 31-42 32-43 35-44 36-45 37-46 38-47 38-48 39-49 41-50 40-51 41-52 47-53 47-54 9-55 37-56 42-57 43-58 44-59 54-60 48-61 50-62 51-63 41-64 41-65 52-66 53-67 54-68 54-69 26-70 27-71 52-72 56-73	-312.344948966
in samtlich bereich , auf die sich der stabilitatspakt bezieht , mithin auch auf den gebiet wirtschaft und handel , sind die gegenseit verpflicht zwisch geb und empfang weiterhin der schlussel zum erfolg dies pakt .	in all area cover by the stabil pact , and therefor also in the econom and trade area , reciproc commit between donor and recipi remain the key to the stabil pact 's success .	0-0 1-1 2-2 9-3 6-4 7-5 8-6 8-7 10-8 10-9 11-10 12-11 13-12 14-13 16-14 17-15 18-16 15-17 19-18 22-19 23-20 24-21 25-22 26-23 27-24 28-25 29-26 30-27 31-28 7-29 8-30 8-31 31-32 32-33 35-34	-110.955395718
darum geht es doch .	that is the question .	0-0 1-1 3-2 1-3 4-4	-18.9893294324
die international gemeinschaft und die irak regier sollt all daran setz , damit das programm " ol fur lebensmittel " der irak bevolker in voll umfang zugut kommt .	the intern commun and the iraqi govern should do their utmost to ensur that the " oil for food " programm work to the full advantag of the iraqi peopl .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 10-8 10-9 16-10 17-11 12-12 12-13 13-14 15-15 16-16 17-17 18-18 19-19 14-20 26-21 17-22 20-23 24-24 26-25 20-26 20-27 21-28 22-29 28-30	-112.552016583
herr minist , auf dem treff von feira wurd vereinbart , die flexibilitat zu erhoh .	mr presid , at the meet at feira it wa decid to increas flexibl .	0-0 0-1 2-2 3-3 4-4 5-5 3-6 7-7 10-8 8-9 7-10 13-11 14-12 12-13 15-14	-58.3982226549
ist die ausser von professor pelinka nicht ein ausser , die in ein demokrati akzeptiert werd muss ?	are professor pelinka 's remark not complet within the bound of accept in a democraci ?	15-0 4-1 5-2 5-3 8-4 6-5 5-6 5-7 1-8 5-9 3-10 14-11 11-12 12-13 13-14 17-15	-59.002272392
herr prasident , osterreich hat sehr streng verbotsgesetz geg faschismus , nationalsozialismus und wiederbetat , und es hat in den letzt jahr imm wied verurteil gegeb .	mr presid , austria ha veri strict law prohibit fascism , nation social and the resurg thereof , and there ha been a success of convict over the past few year .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-8 9-9 10-10 11-11 11-12 12-13 19-14 7-15 7-16 14-17 15-18 16-19 17-20 17-21 17-22 7-23 19-24 7-25 7-26 19-27 20-28 20-29 21-30 26-31	-111.836548949
- die zweit zusatzfrag wird von herrn ford gestellt . ich mocht darauf aufmerksam mach , dass er der fragestell der nach anfrag , der numm 10 ist , die als anfrag nr. 10 nicht beantwortet wird , da sie zu den sech anfrag gehort , die dem rat nicht in all sprach ubermittelt wurd .	the second supplementari question will be put by mr ford , and i must remind you that he is the author of the next question , question no 10 , which is not go to be answer as question no 10 , sinc it is one of the six question that did not reach the council in all languag .	1-0 2-1 3-2 3-3 4-4 4-5 8-6 5-7 6-8 25-9 28-10 28-11 10-12 12-13 25-14 39-15 16-16 17-17 27-18 18-19 19-20 20-21 20-22 21-23 22-24 23-25 31-26 32-27 33-28 37-29 37-30 38-31 34-32 35-33 37-34 36-35 35-36 30-37 31-38 32-39 33-40 37-41 38-42 39-43 36-44 44-45 41-46 41-47 42-48 43-49 45-50 44-51 49-52 53-53 47-54 48-55 50-56 51-57 52-58 55-59	-236.759522457
ist es nicht falsch , dass ein und dieselb person als richt , schwurgericht und vollstreck fungiert und dass die person , die die anschuld vorbringt , gleichzeit der justizminist ist ?	is it not right and proper that the same person should not be judg , juri and execution and that the person make the accus should not also be the minist of justic at the same time ?	0-0 1-1 2-2 25-3 26-4 25-5 18-6 19-7 8-8 9-9 13-10 2-11 1-12 11-13 12-14 13-15 14-16 25-17 17-18 18-19 19-20 20-21 25-22 23-23 24-24 13-25 2-26 25-27 26-28 28-29 29-30 28-31 29-32 27-33 28-34 27-35 27-36 31-37	-144.581866762
und wenn gesagt wird " von den vierzehn " , weiss man genau , dass es sich eigent nicht um ein probl des rat , sond um ein probl der vierzehn mitgliedstaat gegenub ein mitgliedstaat handelt .	and when i say ' fourteen ' i mean that it is not exactli a council matter , rather a matter between the 14 member state themselv .	0-0 1-1 2-2 2-3 4-4 7-5 8-6 10-7 11-8 14-9 15-10 16-11 18-12 12-13 20-14 23-15 30-16 24-17 25-18 27-19 30-20 30-21 29-22 30-23 31-24 31-25 30-26 36-27	-115.158394888
herr amtier ratsprasident ! ich bedau ihr antwort aufricht .	mr president-in-offic of the council , i truli regret your repli .	0-0 1-1 3-2 3-3 2-4 3-5 4-6 8-7 5-8 6-9 7-10 9-11	-39.6100525493
herr amtier ratsprasident ! die anfrag nr. 13 gehort zu den sech anfrag , die aus grund der geschaftsordn heut nicht vom rat beantwortet werd .	mr president-in-offic of the council , question no 13 is one of six question which the council will not repli to today becaus of procedur problem .	0-0 1-1 3-2 4-3 2-4 3-5 5-6 6-7 7-8 16-9 8-10 10-11 11-12 12-13 13-14 14-15 22-16 24-17 20-18 23-19 9-20 19-21 16-22 17-23 18-24 7-25 25-26	-101.618822415
ich dank dem herrn minist , halt sein antwort jedoch leid nicht fur befried .	i thank the minist although , unfortun , i do not consid hi answer satisfactori .	0-0 1-1 2-2 4-3 13-4 9-5 10-6 9-7 0-8 11-9 11-10 6-11 7-12 8-13 13-14 14-15	-55.5543103024
ich geh dennoch das wagnis ein , ein zusatzfrag zu stell , in der hoffnung , sie geb mir diesmal ein zufriedenstell antwort .	nonetheless , allow me to risk anoth question , in the hope thi time of receiv a satisfactori answer .	2-0 2-1 4-2 18-3 9-4 4-5 4-6 8-7 11-8 12-9 13-10 14-11 19-12 19-13 20-14 22-15 20-16 21-17 22-18 23-19	-73.4283373458
der rat beantragt zusatz mittel in hoh von 6,635 million euro .	the council 's budget is eur 6.635 million .	0-0 1-1 8-2 8-3 8-4 10-5 8-6 9-7 11-8	-25.521550339
die anzahl dies expert wird zunach voraussicht 45 betrag , spat aber auf 60 oder gar 90 anwachs .	they may be around 45 at first , but that number may later grow to 60 or even 90 .	6-0 17-1 18-2 17-3 7-4 12-5 5-6 9-7 11-8 2-9 1-10 17-11 10-12 17-13 12-14 13-15 14-16 15-17 16-18 18-19	-90.9418834101
dies spielraum werd wir brauch , wenn die ubrig ausgab des parlament im zug der osterweiter anwachs werd .	we shall need thi , as , with eastward enlarg , parliament 's other expens will increas .	3-0 2-1 4-2 0-3 12-4 13-5 12-6 13-7 15-8 15-9 12-10 11-11 10-12 8-13 16-14 17-15 16-16 18-17	-76.2487575845
der haushalt des rat ist deshalb so interessant , weil er erstmal mittel fur die gemeinsam aussen- und sicherheitspolit enthalt .	the council 's budget is interest , as there are appropri in it for the first time for a common secur and defenc polici .	2-0 3-1 0-2 1-3 4-4 7-5 8-6 6-7 19-8 19-9 12-10 13-11 10-12 13-13 14-14 11-15 11-16 13-17 15-18 15-19 18-20 17-21 16-22 18-23 20-24	-97.8792983813
die klassifizier von ausgab muss in kunftig verhandl klar vorgenomm werd und den wunsch des parlament stark entsprech .	in futur talk , the classif of expenditur must be made clearer and execut more effect , to compli with parliament 's wish .	5-0 6-1 1-2 2-3 0-4 1-5 2-6 3-7 4-8 10-9 9-10 8-11 11-12 1-13 16-14 1-15 2-16 12-17 17-18 17-19 15-20 14-21 13-22 18-23	-102.14205105
der ihn vorlieg berichtigungs- und nachtragshaushaltsplan sollt kein gross problem bereit . dafur gibt es ein einfach grund , denn er ermoglicht zwar dem parlament , ein gewiss zahl von element und haushaltsentscheid einzufuhr , die ihm geeignet erschein und gefall - und dies ist ein erfreulich neuer fur dies parlament ­ , doch es handelt sich im wesent auch um ein entwurf , der den rat zufriedenstellt .	the supplementari and amend budget present here should not pose ani major problem for the simpl reason that , if adopt - and it is good to see that parliament ha an opportun to introduc sever element and budgetari choic that suit it and are to it like , gener speak , it is a draft that the council will consid posit as well .	0-0 5-1 4-2 3-3 5-4 2-5 67-6 6-7 7-8 67-9 7-10 8-11 9-12 12-13 15-14 16-15 17-16 18-17 18-18 6-19 33-20 41-21 42-22 44-23 44-24 46-25 48-26 46-27 49-28 50-29 44-30 45-31 67-32 68-33 33-34 67-35 30-36 31-37 32-38 67-39 68-40 67-41 36-42 39-43 34-44 35-45 36-46 40-47 41-48 5-49 67-50 53-51 54-52 55-53 61-54 62-55 63-56 65-57 66-58 56-59 67-60 67-61 63-62 67-63 68-64	-329.944443547
es ist einfach nur ein vorteil fur ihn , der darin besteht , dass ihm dies haushaltsentwurf vor all ermoglicht , die uberschuss des vergang haushaltsjahr , also 3,2 milliard euro , zuruckzubekomm .	thi is becaus thi budget is essenti design to enabl the council to recov the surplu balanc from last year , which amount to eur 3.2 billion .	15-0 27-1 28-2 15-3 16-4 27-5 28-6 28-7 20-8 19-9 21-10 32-11 31-12 32-13 21-14 22-15 28-16 23-17 24-18 25-19 26-20 26-21 28-22 31-23 30-24 28-25 29-26 33-27	-118.69715877
lieb kolleginn und kolleg ! heut geh die europa union und das europa parlament , obwohl wir erst juli hab , mit geschenk in die mitgliedstaat , weil wir 3,2 milliard euro im nachtragshaushalt wied dorthin zuruckgeb , wo das geld ursprung herkommt .	mr presid , commission , fellow member , it may onli be juli , but today , the european union and the european parliament come to the member state bear gift in the form of a supplementari budget refund eur 3.2 billion to their origin owner .	3-0 3-1 4-2 1-3 2-4 3-5 3-6 4-7 39-8 42-9 42-10 43-11 18-12 20-13 42-14 5-15 4-16 7-17 8-18 9-19 10-20 11-21 12-22 13-23 42-24 43-25 24-26 25-27 25-28 42-29 22-30 23-31 24-32 42-33 32-34 32-35 33-36 33-37 42-38 31-39 29-40 30-41 37-42 42-43 41-44 42-45 43-46	-205.852808918
das war ja ein thema , mit dem wir uns heut vormittag besond auseinandersetz durft .	thi wa a topic which we were abl to focu on thi morn .	0-0 1-1 3-2 4-3 5-4 8-5 1-6 11-7 7-8 11-9 4-10 11-11 11-12 15-13	-67.4309958982
lass sie mich nur ein anmerk zum rat mach .	allow me to make one comment to the council .	0-0 2-1 6-2 8-3 4-4 5-5 6-6 6-7 7-8 9-9	-31.5246268421
auch das gibt uns handlungsspielraum innerhalb der uns selb gesetzt marg in der kategori 5 , und es gibt uns die moglich , die geld dauerhaft und vernunft fur die parlamentsarbeit einzusetz und nicht nur fur zinszahl im rahm der gebaudepolit . desweg kann die evp den beid bericht bourlang und virrankoski selbstverstand zustimm .	thi give us room for manoeuvr within the margin which we set for ourselv in categori 5 and ensur that we can use the money reason and sustain for parliamentari work and not for interest payment as part of our build polici , which is whi the ppe will , of cours , be vote in favour of both the bourlang and virrankoski report .	1-0 2-1 3-2 4-3 6-4 4-5 5-6 6-7 10-8 15-9 7-10 9-11 6-12 8-13 11-14 13-15 14-16 16-17 36-18 1-19 3-20 43-21 31-22 23-23 24-24 27-25 26-26 25-27 28-28 30-29 31-30 32-31 33-32 35-33 36-34 36-35 37-36 38-37 39-38 19-39 40-40 40-41 22-42 22-43 42-44 42-45 44-46 45-47 20-48 22-49 23-50 52-51 15-52 17-53 53-54 54-55 53-56 46-57 47-58 46-59 49-60 50-61 51-62 48-63 54-64	-294.132389043
ich will noch zwei teil des nachtragshaushalt ansprech .	i should like to address anoth two part of the supplementari budget .	0-0 6-1 7-2 8-3 7-4 6-5 3-6 4-7 5-8 5-9 6-10 6-11 8-12	-42.5677976839
wir wurd es fur das bevorsteh haushaltsverfahr ausserordent begruss , wenn der rat sich hier kulant zeig und gemeinsam mit uns beschliess konnt .	it realli would be most welcom for the forthcom budgetari procedur if the council could be accommod here and vote with us .	13-0 15-1 1-2 2-3 5-4 8-5 3-6 4-7 5-8 6-9 6-10 10-11 11-12 12-13 22-14 22-15 15-16 14-17 17-18 15-19 19-20 20-21 23-22	-84.0340150845
ich mein , dass das parlament schnellstmog zu ein massnahmenbezog budgetier ubergeh muss .	i believ it is crucial for parliament to introduc activity-bas budget as a matter of utmost urgenc .	0-0 1-1 7-2 8-3 9-4 10-5 5-6 7-7 9-8 10-9 10-10 6-11 8-12 9-13 8-14 9-15 9-16 13-17	-64.3860939383
viel dank , frau kommissarin !	thank you , commission .	1-0 1-1 2-2 4-3 5-4	-10.4507804663
nach der tagesordn folgt der bericht ( a 5-0180/2000 ) von herrn mombaur im nam des ausschuss fur industri , aussenhandel , forschung und energi zum zweit bericht der kommission an den rat ( kom ( 1990 ) 198 - kom ( 1999 ) 164 - kom ( 1999 ) 612 - kom ( 2000 ) 297 - c 5-0163/2000 - 2000/2097 ( cos ) ) uber den stand der liberalisier der energiemarkt .	the next item is the report ( a 5-0180/2000 ) by mr mombaur on behalf of the committe on industri , extern trade , research and energi on the commiss 's second report to the on the state of liberalis of the energi market council [ com ( 1990 ) 198 - com ( 1999 ) 164 - com ( 1999 ) 612 - com ( 2000 ) 297 - c 5-0163/2000 - 2000/2097 ( co ) ] .	1-0 3-1 3-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 15-16 16-17 17-18 18-19 19-20 20-21 20-22 21-23 22-24 23-25 24-26 25-27 28-28 29-29 28-30 26-31 27-32 30-33 31-34 66-35 67-36 68-37 69-38 70-39 71-40 71-41 72-42 72-43 32-44 63-45 34-46 35-47 36-48 37-49 38-50 39-51 40-52 41-53 42-54 43-55 44-56 45-57 46-58 47-59 48-60 49-61 50-62 51-63 52-64 53-65 54-66 55-67 56-68 57-69 58-70 8-71 39-72 8-73 62-74 63-75 64-76 63-77 73-78	-210.904956267
ich glaub , dass dies praktik sowi die moglich ersetz der bekannt national monopol durch ein europa oligopol von den wettbewerbsdien der kommission unnachgieb verfolgt werd muss .	i believ that these practic , as well as the possibl substitut of the well-known nation monopoli by a european oligopoli , should be combat relentlessli by the servic which come under the respons of the commiss .	0-0 1-1 3-2 4-3 5-4 2-5 6-6 6-7 6-8 7-9 8-10 9-11 10-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 20-22 25-23 20-24 20-25 18-26 19-27 20-28 19-29 20-30 20-31 19-32 20-33 21-34 21-35 22-36 27-37	-115.454575397
die beid richtlini war sehr sorgfalt berechnet word , um ein massiv und plotzlich arbeitsplatzabbau zu verhind ( bish ging ca. 250 000 arbeitsplatz in dies sektor verlor , den weit folg werd ) und um den mitgliedstaat , die z. b. stark in die kernenergi investiert hatt , ein gewiss planungsspielraum einzuraum und das entsteh uneinbring kost nach moglich zu verhind .	the two direct were veri care calcul to ensur that there would not be huge and sudden job loss - approxim 250,000 job have been lost in thi sector , with more to come - and secondli to allow those member state which had invest heavili in , for exampl , nuclear energi to do some strateg plan and not leav them with too much in the way of strand cost .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 9-7 51-8 54-9 55-10 47-11 48-12 32-13 11-14 12-15 13-16 14-17 14-18 6-19 20-20 51-21 14-22 7-23 7-24 27-25 24-26 25-27 26-28 28-29 29-30 30-31 35-32 51-33 55-34 53-35 51-36 48-37 51-38 51-39 37-40 37-41 38-42 47-43 46-44 51-45 43-46 38-47 41-48 41-49 44-50 45-51 45-52 48-53 51-54 50-55 51-56 51-57 53-58 54-59 51-60 51-61 49-62 51-63 42-64 43-65 44-66 59-67 49-68 51-69 57-70 62-71	-351.260708604
doch die kommission halt sich auffall zuruck .	yet the commiss is not tackl thi head on .	0-0 1-1 2-2 3-3 4-4 5-5 4-6 5-7 4-8 7-9	-40.2334539417
dritt sollt die forderpolit der eu ebenfall und grundsatz umgestellt werd , nicht der bau von hochspannungsleit fur ein zentralisiert energiewirtschaft , sond energieeinspar erneuerbar energi und ein energiepolit regionalisier sollt gefordert werd .	thirdli , a radic rethink of the eu 's promot polici is also need so as to promot energi save from renew sourc of energi and regionalis energi polici , rather than the construct of high-voltag line for a centralis energi economi .	0-0 21-1 18-2 16-3 16-4 4-5 4-6 5-7 20-8 31-9 28-10 27-11 6-12 16-13 20-14 21-15 21-16 31-17 23-18 23-19 15-20 24-21 24-22 27-23 25-24 26-25 29-26 28-27 28-28 15-29 16-30 16-31 13-32 14-33 15-34 16-35 16-36 17-37 18-38 19-39 20-40 20-41 33-42	-187.837701698
viert mocht ich davor warn , mit der derzeit eu-weit liberalisier die kommunal energiebetrieb kaputt zu mach .	fourthli , i should like to warn against subvert local energi oper by liberalis right across the eu , as we are do at present .	0-0 5-1 2-2 1-3 1-4 5-5 4-6 4-7 13-8 12-9 13-10 13-11 13-12 10-13 13-14 13-15 11-16 9-17 5-18 5-19 3-20 3-21 3-22 8-23 8-24 17-25	-113.828687776
und es ist auch nicht wahr , dass die fursprech der offent dienstleist das argument der angst vorbring , um ihr wert zu verteid . die verfecht ein universaldien sind kein sentimental , verbohrt nationalist , sond europa .	those who defend public servic do not use fear as an argument to defend their valu , and those who are in favour of a univers servic are not nostalg , nervou nationalist , but european .	26-0 26-1 26-2 11-3 12-4 31-5 30-6 31-7 16-8 9-9 13-10 14-11 22-12 23-13 20-14 21-15 18-16 25-17 26-18 26-19 29-20 25-21 26-22 27-23 27-24 28-25 28-26 29-27 30-28 31-29 32-30 31-31 34-32 35-33 36-34 37-35 38-36	-136.476306384
in wirklich erfolgt ein gebuhrensenk oftmal nur zum vorteil der industriell grossverbrauch .	it is commonli known that tariff reduct all too often onli benefit larg industri user .	4-0 3-1 4-2 4-3 3-4 4-5 4-6 4-7 4-8 5-9 6-10 8-11 4-12 10-13 4-14 12-15	-69.1491647231
